2024-03-11T10:00 1.1000 1.1050 1.0980 1.1025
2024-03-11T10:01 1.1025 1.1070 1.1000 1.1060
2024-03-11T10:02 1.1060 1.1080 1.1030 1.1045
2024-03-11T10:03 1.1045 1.1065 1.1015 1.1020
2024-03-11T10:04 1.1020 1.1040 1.0990 1.1005
2024-03-11T10:05 1.1000 1.1050 1.0980 1.1025
2024-03-11T10:06 1.1025 1.1070 1.1000 1.1060
2024-03-11T10:07 1.1060 1.1080 1.1030 1.1045
2024-03-11T10:08 1.1045 1.1065 1.1015 1.1020
2024-03-11T10:09 1.1020 1.1040 1.0990 1.1005
2024-03-11T10:10 1.1000 1.1050 1.0980 1.1025
2024-03-11T10:11 1.1025 1.1070 1.1000 1.1060
2024-03-11T10:12 1.1060 1.1080 1.1030 1.1045
2024-03-11T10:13 1.1045 1.1065 1.1015 1.1020
2024-03-11T10:14 1.1020 1.1040 1.0990 1.1005
2024-03-11T10:15 1.1000 1.1050 1.0980 1.1025
2024-03-11T10:16 1.1025 1.1070 1.1000 1.1060
2024-03-11T10:17 1.1060 1.1080 1.1030 1.1045
2024-03-11T10:18 1.1045 1.1065 1.1015 1.1020
2024-03-11T10:19 1.1020 1.1040 1.0990 1.1005
2024-03-11T10:20 1.1000 1.1050 1.0980 1.1025
