time,open,high,low,close
2020-01-01T17:00:00-05:00,0.91142,0.91142,0.90976,0.90985
2020-01-01T18:00:00-05:00,0.90985,0.9109,0.9097,0.91078
2020-01-01T19:00:00-05:00,0.91078,0.91084,0.91012,0.91026
2020-01-01T20:00:00-05:00,0.91026,0.9107,0.91003,0.91015
2020-01-01T21:00:00-05:00,0.91015,0.91073,0.90986,0.91059
2020-01-01T22:00:00-05:00,0.91059,0.91088,0.90986,0.90988
2020-01-01T23:00:00-05:00,0.90988,0.91007,0.90962,0.90973
2020-01-02T00:00:00-05:00,0.90973,0.91002,0.90884,0.90945
2020-01-02T01:00:00-05:00,0.90945,0.90958,0.9085,0.909
2020-01-02T02:00:00-05:00,0.909,0.90932,0.90856,0.90915
2020-01-02T03:00:00-05:00,0.90915,0.90932,0.90814,0.90884
2020-01-02T04:00:00-05:00,0.90884,0.90886,0.90816,0.90836
2020-01-02T05:00:00-05:00,0.90836,0.90916,0.9077,0.90904
2020-01-02T06:00:00-05:00,0.90904,0.90912,0.90814,0.90828
2020-01-02T07:00:00-05:00,0.90828,0.90875,0.90781,0.90844
2020-01-02T08:00:00-05:00,0.90844,0.9095,0.90841,0.90908
2020-01-02T09:00:00-05:00,0.90908,0.90938,0.90855,0.90876
2020-01-02T10:00:00-05:00,0.90876,0.90896,0.90787,0.90882
2020-01-02T11:00:00-05:00,0.90882,0.90897,0.90712,0.90748
2020-01-02T12:00:00-05:00,0.90748,0.90778,0.90725,0.90767
2020-01-02T13:00:00-05:00,0.90767,0.90779,0.90703,0.90714
2020-01-02T14:00:00-05:00,0.90714,0.9072,0.90642,0.90699
2020-01-02T15:00:00-05:00,0.90699,0.90764,0.90688,0.90737
2020-01-02T16:00:00-05:00,0.90737,0.90788,0.90732,0.90755
2020-01-02T17:00:00-05:00,0.90755,0.90798,0.90644,0.90677
2020-01-02T18:00:00-05:00,0.90677,0.90718,0.90642,0.90678
2020-01-02T19:00:00-05:00,0.90678,0.90704,0.90616,0.90674
2020-01-02T20:00:00-05:00,0.90674,0.90688,0.90525,0.90534
2020-01-02T21:00:00-05:00,0.90534,0.90586,0.9046,0.90506
2020-01-02T22:00:00-05:00,0.90506,0.90566,0.90482,0.90543
2020-01-02T23:00:00-05:00,0.90543,0.90596,0.90496,0.90501
2020-01-03T00:00:00-05:00,0.90501,0.90532,0.90446,0.9045
2020-01-03T01:00:00-05:00,0.9045,0.90472,0.90394,0.90416
2020-01-03T02:00:00-05:00,0.90416,0.90456,0.9015,0.90156
2020-01-03T03:00:00-05:00,0.90156,0.9028,0.90094,0.90165
2020-01-03T04:00:00-05:00,0.90165,0.90172,0.90061,0.90068
2020-01-03T05:00:00-05:00,0.90068,0.90115,0.90052,0.90096
2020-01-03T06:00:00-05:00,0.90096,0.90161,0.90061,0.90137
2020-01-03T07:00:00-05:00,0.90137,0.90285,0.90132,0.90267
2020-01-03T08:00:00-05:00,0.90267,0.90288,0.90204,0.90228
2020-01-03T09:00:00-05:00,0.90228,0.90308,0.90204,0.90264
2020-01-03T10:00:00-05:00,0.90264,0.90414,0.90263,0.90292
2020-01-03T11:00:00-05:00,0.90292,0.90412,0.90278,0.90399
2020-01-03T12:00:00-05:00,0.90399,0.90473,0.90386,0.90412
2020-01-03T13:00:00-05:00,0.90412,0.90452,0.90366,0.90382
2020-01-03T14:00:00-05:00,0.90382,0.90412,0.90352,0.90402
2020-01-03T15:00:00-05:00,0.90402,0.90414,0.90318,0.9032
2020-01-03T16:00:00-05:00,0.9032,0.90376,0.90274,0.90327
2020-01-05T17:00:00-05:00,0.90327,0.90327,0.9009,0.90102
2020-01-05T18:00:00-05:00,0.90102,0.902,0.90052,0.90193
2020-01-05T19:00:00-05:00,0.90193,0.90293,0.90188,0.90246
2020-01-05T20:00:00-05:00,0.90246,0.90258,0.90043,0.90092
2020-01-05T21:00:00-05:00,0.90092,0.90183,0.90087,0.90153
2020-01-05T22:00:00-05:00,0.90153,0.90178,0.90088,0.90096
2020-01-05T23:00:00-05:00,0.90096,0.9012,0.90067,0.90114
2020-01-06T00:00:00-05:00,0.90114,0.9013,0.90022,0.90024
2020-01-06T01:00:00-05:00,0.90024,0.90065,0.89992,0.90064
2020-01-06T02:00:00-05:00,0.90064,0.90188,0.90059,0.90155
2020-01-06T03:00:00-05:00,0.90155,0.90242,0.90106,0.90155
2020-01-06T04:00:00-05:00,0.90155,0.90195,0.90115,0.9019
2020-01-06T05:00:00-05:00,0.9019,0.90226,0.90156,0.9019
2020-01-06T06:00:00-05:00,0.9019,0.90192,0.90096,0.90136
2020-01-06T07:00:00-05:00,0.90136,0.9021,0.9011,0.90124
2020-01-06T08:00:00-05:00,0.90124,0.90153,0.90068,0.90074
2020-01-06T09:00:00-05:00,0.90074,0.90121,0.89935,0.89988
2020-01-06T10:00:00-05:00,0.89988,0.90004,0.89898,0.89948
2020-01-06T11:00:00-05:00,0.89948,0.89981,0.89844,0.89861
2020-01-06T12:00:00-05:00,0.89861,0.8992,0.8985,0.89918
2020-01-06T13:00:00-05:00,0.89918,0.89949,0.89902,0.89934
2020-01-06T14:00:00-05:00,0.89934,0.89956,0.89882,0.89898
2020-01-06T15:00:00-05:00,0.89898,0.89982,0.89893,0.89967
2020-01-06T16:00:00-05:00,0.89967,0.89992,0.89936,0.89974
2020-01-06T17:00:00-05:00,0.89974,0.89992,0.89904,0.89959
2020-01-06T18:00:00-05:00,0.89959,0.89961,0.89882,0.89933
2020-01-06T19:00:00-05:00,0.89933,0.89952,0.89778,0.898
2020-01-06T20:00:00-05:00,0.898,0.8991,0.89798,0.89851
2020-01-06T21:00:00-05:00,0.89851,0.8988,0.8981,0.89864
2020-01-06T22:00:00-05:00,0.89864,0.89962,0.89855,0.89936
2020-01-06T23:00:00-05:00,0.89936,0.89938,0.89816,0.89824
2020-01-07T00:00:00-05:00,0.89824,0.89864,0.89648,0.89654
2020-01-07T01:00:00-05:00,0.89654,0.89726,0.89552,0.8967
2020-01-07T02:00:00-05:00,0.8967,0.89689,0.89513,0.89536
2020-01-07T03:00:00-05:00,0.89536,0.89612,0.89504,0.89511
2020-01-07T04:00:00-05:00,0.89511,0.89522,0.89391,0.89405
2020-01-07T05:00:00-05:00,0.89405,0.89414,0.89278,0.89304
2020-01-07T06:00:00-05:00,0.89304,0.89333,0.89186,0.89281
2020-01-07T07:00:00-05:00,0.89281,0.89386,0.89274,0.89333
2020-01-07T08:00:00-05:00,0.89333,0.89386,0.89268,0.89316
2020-01-07T09:00:00-05:00,0.89316,0.89447,0.8927,0.89376
2020-01-07T10:00:00-05:00,0.89376,0.89448,0.89316,0.89391
2020-01-07T11:00:00-05:00,0.89391,0.89435,0.89298,0.89299
2020-01-07T12:00:00-05:00,0.89299,0.89397,0.89286,0.89382
2020-01-07T13:00:00-05:00,0.89382,0.894,0.89295,0.893
2020-01-07T14:00:00-05:00,0.893,0.89332,0.8928,0.89325
2020-01-07T15:00:00-05:00,0.89325,0.89352,0.8931,0.89326
2020-01-07T16:00:00-05:00,0.89326,0.8934,0.8924,0.89334
2020-01-07T17:00:00-05:00,0.89334,0.89342,0.89291,0.89307
2020-01-07T18:00:00-05:00,0.89307,0.89332,0.89093,0.89182
2020-01-07T19:00:00-05:00,0.89182,0.89238,0.89042,0.89144
2020-01-07T20:00:00-05:00,0.89144,0.89255,0.89105,0.89135
2020-01-07T21:00:00-05:00,0.89135,0.89358,0.8913,0.89291
2020-01-07T22:00:00-05:00,0.89291,0.8933,0.89178,0.89214
2020-01-07T23:00:00-05:00,0.89214,0.89272,0.89183,0.89187
2020-01-08T00:00:00-05:00,0.89187,0.89231,0.89184,0.8921
2020-01-08T01:00:00-05:00,0.8921,0.89264,0.8919,0.892
2020-01-08T02:00:00-05:00,0.892,0.89373,0.892,0.89354
2020-01-08T03:00:00-05:00,0.89354,0.89398,0.89312,0.8939
2020-01-08T04:00:00-05:00,0.8939,0.89426,0.89338,0.89364
2020-01-08T05:00:00-05:00,0.89364,0.89388,0.89306,0.89351
2020-01-08T06:00:00-05:00,0.89351,0.89414,0.89335,0.8941
2020-01-08T07:00:00-05:00,0.8941,0.8943,0.89286,0.89351
2020-01-08T08:00:00-05:00,0.89351,0.89398,0.8928,0.89372
2020-01-08T09:00:00-05:00,0.89372,0.89381,0.89249,0.89277
2020-01-08T10:00:00-05:00,0.89277,0.89386,0.89176,0.8936
2020-01-08T11:00:00-05:00,0.8936,0.89528,0.8928,0.89492
2020-01-08T12:00:00-05:00,0.89492,0.89651,0.89484,0.89581
2020-01-08T13:00:00-05:00,0.89581,0.89607,0.89535,0.89546
2020-01-08T14:00:00-05:00,0.89546,0.89546,0.895,0.8952
2020-01-08T15:00:00-05:00,0.8952,0.89524,0.89448,0.8949
2020-01-08T16:00:00-05:00,0.8949,0.89584,0.89483,0.89526
2020-01-08T17:00:00-05:00,0.89526,0.89572,0.89476,0.89502
2020-01-08T18:00:00-05:00,0.89502,0.89636,0.89481,0.89631
2020-01-08T19:00:00-05:00,0.89631,0.89654,0.89564,0.89577
2020-01-08T20:00:00-05:00,0.89577,0.89629,0.89518,0.8957
2020-01-08T21:00:00-05:00,0.8957,0.89616,0.89536,0.89593
2020-01-08T22:00:00-05:00,0.89593,0.89614,0.89568,0.8958
2020-01-08T23:00:00-05:00,0.8958,0.8962,0.89532,0.89612
2020-01-09T00:00:00-05:00,0.89612,0.89644,0.89592,0.8964
